street,school,loc
Lisbon Drive A,Stratfield School, 1-999999 004-33
Little Brook Road A,Fairfield Warde High School, 1-999999 005-33
Livingston Street E,Stratfield School, 40-40 004-33
Livingston Street O,Stratfield School, 25-125 004-33
Lloyd Drive E,Stratfield School, 22-260 004-33
Lloyd Drive O,Fairfield Woods Middle School, 9-57 003-32
Lloyd Drive O,Stratfield School, 73-111 004-33
Lloyd Drive O,St Pius School, 135-257 002-34
Lloyd Place E,St Pius School, 2-98 002-34
Lloyd Place O,Stratfield School, 1-99 004-33
Lockwood Circle A,Stratfield School, 1-999999 004-33
Lockwood Road A,Stratfield School, 15-320 004-33
Lockwood Road A,Stratfield School, 321-518 004-33
Lola Street E,Stratfield School, 2-198 004-33
Lola Street O,Fairfield Warde High School, 1-99 005-33
London Terrace A,Stratfield School, 1-999999 004-33
Long Meadow Road A,Dwight School, 1-999999 001-34
Longdean Road A,Sherman School, 1-999999 009-32
Longfellow Avenue A,McKinley School, 1-999999 006-33
Longview Avenue E,McKinley School, 2-298 006-33
Longview Avenue O,Holland Hill School, 1-299 007-33
Lookout Drive North A,Fairfield Warde High School, 1-999999 005-33
Lookout Drive South A,Fairfield Warde High School, 1-999999 005-33
Lota Drive A,Fairfield Woods Middle School, 1-999999 003-32
Lounsbury Road A,St Pius School, 1-999999 002-34
Louvain Street A,Stratfield School, 1-999999 004-33
Lovers Lane A,Holland Hill School, 1-999999 007-33
Lu Manor Drive A,Stratfield School, 1-999999 004-33
Lucille Street A,Stratfield School, 10-272 004-33
Lucille Street A,Fairfield Woods Middle School, 327-438 003-32
Ludlowe Court A,Fairfield Ludlowe High School, 1-999999 008-32
Ludlowe Road A,Fairfield Ludlowe High School, 1-999999 008-32
Lyman Lane A,Dwight School, 1-999999 001-34
Lynnbrook Road A,Fairfield Warde High School, 1-999999 005-33
Madison Hill A,Dwight School, 1-999999 001-34
Mailands Road A,Fairfield Woods Middle School, 1-999999 003-32
Main Street A,Mill Hill School, 1-999999 010-32
Maple Drive A,Fairfield Ludlowe High School, 1-999999 008-32
Margemere Drive A,St Pius School, 1-999999 002-34
Marian Road A,Fairfield Warde High School, 1-999999 005-33
Mariners Way A,Sherman School, 1-999999 009-32
Marlborough Terrace A,Fairfield Warde High School, 1-999999 005-33
Marne Avenue E,Stratfield School, 2-198 004-33
Marne Avenue O,Fairfield Warde High School, 1-199 005-33
Marsh Drive E,Fairfield Woods Middle School, 48-122 003-32
Marsh Drive O,Holland Hill School, 51-51 007-33
Marsh Drive O,Fairfield Woods Middle School, 115-115 003-32
Martingale Lane A,Dwight School, 1-999999 001-34
Maryland Street A,McKinley School, 1-999999 006-33
